name;area of expertise;topic;keywords;date;preferred city
;;;;15/04/2019
;;;;17/01/2023;not set
Maarten Schenk;Fact Checker & Developer;Lead Stories;fact checking;25/04/2019;​
AIMILIA ZISIADI;PhD candidate;VUB;Reproductive Biology, Fertility Preservation, Follicle Biology;16/12/2022;Leuven
Abir Asmar;Post-Doctoral Researcher, Member of Welbio grantee team;UC Louvain;Antibiotic resistance;09/04/2019;Leuven
Abraham Lin;FWO Senior Researcher;University of Antwerp;Biomedical Engineering, Plasma Physics & Chemistry, Oncology;17/04/2023;Ostend
Adrian Ranga;Assistant Professor;KU Leuven;Bioengineering and Morphogenesis;19/08/2020;​
Adrien Voisin;Informaticien et Doctorant;Faculté d’Informatique de l’Université de Namur;Informatique, pollution liée à internet;01/09/2020;not set
Aerts Conny;ERC Grantee;KULeuven / ERC;asteroseismology;11/04/2019;​
Agnes Dekeyser;PhD Student;UCL;MARS colonization;17/04/2023;Brussels
Alain Jorissen;Professor & Director of Astronomy and Astrophysics Institute;Université Libre de Bruxelles;Astrophysics, red giants, GAIA mission;14/04/2019;Leuven
Alain Musset;Géographe et Directeur d'études;École des hautes études en sciences sociales (EHESS);Science sociales, science fiction, urbanisme;29/04/2021;​
Alba Alvarez Martin;Postdoc;University of Antwerp;Conservation science. Study of the degradation of museum collections;09/12/2019;Ostend
Alba Lopez-Moraga;PhD Student;KU Leuven;;12/04/2023;​
Alban de Kerchove;Principal Investigator, Welbio grantee;IRIBHM - ULB;Neurophysiology;11/04/2019;Leuven
Alex Karl;Space engineer, Chair of the IAF's Technical Committee on NEOs;Space Applications Services;Planetary defense, asteroids, ISS operations engineer;23/06/2021;​
Alexandra Rodler;Post-Doctoral Researcher;Vrije Universiteit Brussel;Geology, snowball earth, antartica, climate;14/04/2019;Leuven
Alexandra Sánchez;PhD Fellow, Faculty of Arts;KU Leuven;Media and Communication;08/04/2019;​
Alexandre Barthelme;Principal Scientist, Late Stage Process Research and Development;UCB pharma;Organic chemistry - pharmaceutical science;19/05/2019;Leuven
Alexey Kubarev;Postoctoral Fellow of FWO;Alexey Kubarev;Catalysis and Microscopy;12/04/2019;Brussels
Alice Van Audenhaege;PhD candidate;UCL;Visual Language and Neuroscience;16/04/2023;Leuven
Allisha Ali;CEO;Allisha Ali Coaching and Mentoring;Future of leadership and communication for scientists;22/04/2022;​
Alvaro Daniel Fernandez;PhD Student;VIB Ugent;Plant stresses, Wounding, Degrading enzymes;14/12/2020;​
An Ghysels;Assistant Professor;Center for Molecular Modeling, University of Ghent;algorithms for the normal mode calculation in large biomolecular systems;13/04/2019;​
An Hardy;Hoogleraar;Universiteit Hasselt, EnergyVille;Battery Research, lithium, energy storage;24/04/2019;​
Ana Cristina N. Freitas;Post-doctoral fellow;VIB-KU Leuven;Venom, medicine;18/04/2022;Brussels
Anastasia Papangelou;Doctoral Researcher;KU Leuven;Recycling, waste streams;01/09/2020;Leuven
Andrea Pitillas Martinez;PhD in Batteries research;IMEC;Nanometric hybrid coatings and possible applications;16/09/2019;Brussels
Anna Vanluchene;Postdoc (MSCA action fellow);Ghent University;Chemical engineering, green sustainable chemistry;16/01/2023;​
Annalena Fuchs;PhD Student;KU Leuven;;12/04/2023;​
Anne Willems;Doctor in Psychology;KU Leuven, Laboratory of Biological Psychology;affective neuroscience, biological psychology;12/02/2024;Leuven
Annelies Declercq;Postdoctoral researcher;Flanders Marine Institute (VLIZ);Veterinary Medicine and Aquaculture;12/04/2019;Antwerp
Annelies Duerinckx;Coordinator;Scivil;Citizen science;17/04/2023;​
Annelies Van Assche;Researcher at the Department of Art, Music and Theatre Sciences;Ghent University;Theatre studies and sociological research methodologies;11/04/2019;​
Annette Caenen;post-doc;Ghent University/KULeuven;medical imaging, computer modeling, cardiac application;30/05/2023;not set
Annie Cuyt;;University of Antwerp, Faculty of Sciences;Maths empowers: from rabbits breeding to the ageing brain and radar imaging.;13/04/2019;Ostend
Anthonie Hellemond;President of Palaeontologica Belgica;Vrije Universiteit Brussel;Paleontology, Geology, Citizen Science;29/01/2024;not set
Antonieta Ramirez;PhD student;HiQnano srl/ University of Salento;Material Science, Synthesis and functionalization of nanoparticles for biomedice;21/11/2022;Brussels
Astrid Gadeyne;Postdoc;VIB/UGent;Plant biotech, nitrogen and growth conditions in plants,;11/04/2019;​
Athanasia Vidali Soula;Visual Artist;Université de Liège;Dessin et Animalité. Le tracé aux prises avec l’altérité;02/04/2019;​
